"Ghotuo","aaa"
"Miao, Eastern Qiandong","hmq"
"Hmar","hmr"
"Miao, Southern Qiandong","hms"
"Hamtai","hmt"
"Hamap","hmu"
"Hmong Dô","hmv"
"Miao, Western Mashan","hmw"
"Miao, Southern Guiyang","hmy"
"Sinicized Miao","hmz"
"Mina","hna"
"Hindko, Southern","hnd"
"Chhattisgarhi","hne"
"||Ani","hnh"
"Hani","hni"
"Hmong Njua","hnj"
"Hanunoo","hnn"
"Hindko, Northern","hno"
"Hindustani, Caribbean","hns"
"Hung","hnu"
"Hoava","hoa"
"Mari","hob"
"Ho","hoc"
"Holma","hod"
"Horom","hoe"
"Hobyót","hoh"
"Holikachuk","hoi"
"Hadothi","hoj"
"Holu","hol"
"Homa","hom"
"Holoholo","hoo"
"Hopi","hop"
"Horo","hor"
"Ho Chi Minh City Sign Language","hos"
"Hote","hot"
"Hovongan","hov"
"Honi","how"
"Holiya","hoy"
"Hozo","hoz"
"Hpon","hpo"
"Hawai'i Pidgin Sign Language","hps"
"Hrangkhol","hra"
"Hre","hre"
"Haruku","hrk"
"Miao, Horned","hrm"
"Haroi","hro"
"Horuru","hrr"
"Hértevin","hrt"
"Hruso","hru"
"Croatian","hrv","true"
"Hunsrik","hrx"
"Harzani","hrz"
"Sorbian, Upper","hsb"
"Hungarian Sign Language","hsh"
"Hausa Sign Language","hsl"
"Chinese, Xiang","hsn"
"Harsusi","hss"
"Hoti","hti"
"Huitoto, Minica","hto"
"Hadza","hts"
"Hitu","htu"
"Huambisa","hub"
"Hua","huc"
"Huaulu","hud"
"Huave, San Francisco del Mar","hue"
"Humene","huf"
"Huachipaeri","hug"
"Huilliche","huh"
"Huli","hui"
"Miao, Northern Guiyang","huj"
"Hulung","huk"
"Hula","hul"
"Hungana","hum"
"Hungarian","hun","true"
"Hu","huo"
"Hupa","hup"
"Tsat","huq"
"Halkomelem","hur"
"Huastec","hus"
"Humla","hut"
"Huitoto, Murui","huu"
"Huave, San Mateo del Mar","huv"
"Hukumina","huw"
"Huitoto, Nüpode","hux"
"Hulaulá","huy"
"Hunzib","huz"
"Haitian Vodoun Culture Language","hvc"
"Huave, San Dionisio del Mar","hve"
"Haveke","hvk"
"Sabu","hvn"
"Huave, Santa María del Mar","hvv"
"Wané","hwa"
"Hawai'i Creole English","hwc"
"Hwana","hwo"
"Hya","hya"
"Armenian","hye","true"
"Iaai","iai"
"Iatmul","ian"
"Iapama","iap"
"Purari","iar"
"Iban","iba"
"Ibibio","ibb"
"Iwaidja","ibd"
"Akpes","ibe"
"Ibanag","ibg"
"Ibilo","ibi"
"Ibaloi","ibl"
"Agoi","ibm"
"Ibino","ibn"
"Igbo","ibo"
"Ibuoro","ibr"
"Ibu","ibu"
"Ibani","iby"
"Ede Ica","ica"
"Etkywan","ich"
"Icelandic Sign Language","icl"
"Islander Creole English","icr"
"Luidakho-Luisukha-Lutirichi","ida"
"Indo-Portuguese","idb"
"Idon","idc"
"Ede Idaca","idd"
"Idere","ide"
"Idi","idi"
"Indri","idr"
"Idesa","ids"
"Idaté","idt"
"Idoma","idu"
"Ifugao, Amganad","ifa"
"Ifugao, Ayangan","ifb"
"Ifè","ife"
"Ifo","iff"
"Ifugao, Tuwali","ifk"
"Teke-Fuumu","ifm"
"Ifugao, Mayoyao","ifu"
"Kallahan, Keley-i","ify"
"Ebira","igb"
"Igede","ige"
"Igana","igg"
"Igala","igl"
"Kanggape","igm"
"Ignaciano","ign"
"Isebe","igo"
"Igwe","igw"
"Iha Based Pidgin","ihb"
"Ihievbe","ihi"
"Iha","ihp"
"Nuosu","iii"
"Izon","ijc"
"Biseni","ije","true"
"Ede Ije","ijj"
"Kalabari","ijn"
"Ijo, Southeast","ijs"
"Inuktitut, Eastern Canadian","ike"
"Iko","iki"
"Ika","ikk"
"Ikulu","ikl"
"Olulumo-Ikom","iko"
"Ikpeshi","ikp"
"Inuktitut, Western Canadian","ikt"
"Iku-Gora-Ankwa","ikv"
"Ikwere","ikw"
"Ik","ikx"
"Ikizu","ikz"
"Ile Ape","ila"
"Ila","ilb"
"Garig-Ilgar","ilg"
"Ili Turki","ili"
"Ilongot","ilk"
"Iranun","ill"
"Ilocano","ilo"
"International Sign","ils"
"Ili'uun","ilu"
"Ilue","ilv"
"Talur","ilw"
"Mala Malasar","ima"
"Imeraguen","ime"
"Anamgura","imi"
"Imonda","imn"
"Imbongu","imo"
"Imroing","imr"
"Inga","inb"
"Indonesian","ind","true"
"Degexit'an","ing"
"Ingush","inh"
"Inga, Jungle","inj"
"Indonesian Sign Language","inl"
"Isinai","inn"
"Inoke-Yate","ino"
"Iñapari","inp"
"Indian Sign Language","ins"
"Intha","int"
"Ineseño","inz"
"Inor","ior"
"Tuma-Irumu","iou"
"Iowa-Oto","iow"
"Ipili","ipi"
"Ipiko","ipo"
"Iquito","iqu"
"Iresim","ire"
"Irarutu","irh"
"Irigwe","iri"
"Iraqw","irk"
"Irántxe","irn"
"Ir","irr"
"Irula","iru"
"Kamberau","irx"
"Iraya","iry"
"Isabi","isa"
"Isconahua","isc"
"Isnag","isd"
"Italian Sign Language","ise","true"
"Irish Sign Language","isg"
"Esan","ish"
"Nkem-Nkum","isi"
"Ishkashimi","isk"
"Icelandic","isl","true"
"Masimasi","ism"
"Isanzu","isn"
"Isoko","iso"
"Israeli Sign Language","isr"
"Istriot","ist"
"Isu","isu","true"
"Italian","ita","true"
"Itneg, Binongan","itb"
"Itene","ite"
"Itneg, Inlaod","iti"
"Judeo-Italian","itk"
"Itelmen","itl"
"Itu Mbon Uzo","itm"
"Itonama","ito"
"Iteri","itr"
"Isekiri","its"
"Itneg, Maeng","itt"
"Itawit","itv"
"Ito","itw"
"Itik","itx"
"Itneg, Moyadan","ity"
"Itza'","itz"
"Iu Mien","ium"
"Ibatan","ivb"
"Ivatan","ivv"
"I-wak","iwk"
"Iwam","iwm"
"Iwur","iwo"
"Iwam, Sepik","iws"
"Ixcatec","ixc"
"Ixil","ixl"
"Iyayu","iya"
"Mesaka","iyo"
"Yaka","iyx"
"Ingrian","izh"
"Izi-Ezaa-Ikwo-Mgbo","izi"
"Izere","izr"
"Jamamadí","jaa"
"Hyam","jab"
"Jakalteko","jac"
"Jahanka","jad"
"Yabem","jae"
"Jara","jaf"
"Jah Hut","jah"
"Zazao","jaj"
"Jakun","jak"
"Yalahatan","jal"
"Jamaican Creole English","jam"
"Yanyuwa","jao"
"Yaqay","jaq"
"Jarawa","jar"
"Javanese, New Caledonian","jas"
"Jakati","jat"
"Yaur","jau"
"Javanese","jav"
"Malay, Jambi","jax","true"
"Yan-nhangu","jay"
"Jawe","jaz"
"Judeo-Berber","jbe"
"Arandai","jbj"
"Nafusi","jbn"
"Jofotek-Bromnya","jbr"
"Jabutí","jbt"
"Jukun Takum","jbu"
"Jamaican Country Sign Language","jcs"
"Krimchak","jct"
"Jad","jda"
"Jadgali","jdg"
"Judeo-Tat","jdt"
"Jebero","jeb"
"Jerung","jee"
"Jeng","jeg","true"
"Jeh","jeh"
"Yei","jei"
"Jeri Kuo","jek"
"Yelmek","jel"
"Dza","jen"
"Jere","jer"
"Manem","jet"
"Jonkor Bourmataguil","jeu"
"Ngbee","jgb"
"Judeo-Georgian","jge"
"Ngomba","jgo"
"Jehai","jhi"
"Jhankot Sign Language","jhs"
"Jina","jia"
"Jibu","jib"
"Tol","jic"
"Bu","jid"
"Jilbe","jie"
"Djingili","jig"
"Shangzhai","jih"
"Jiiddu","jii"
"Jilim","jil"
"Jimi","jim"
"Jiamao","jio"
"Guanyinqiao","jiq"
"Jita","jit"
"Jinuo, Youle","jiu"
"Shuar","jiv","true"
"Jinuo, Buyuan","jiy"
"Kubo","jko"
"Labir","jku"
"Ngile","jle"
"Jamaican Sign Language","jls"
"Dima","jma"
"Zumbun","jmb"
"Machame","jmc"
"Yamdena","jmd"
"Jimi","jmi"
"Jumli","jml"
"Naga, Makuri","jmn"
"Kamara","jmr"
"Mashi","jms"
"Mixtec, Western Juxtlahuaca","jmx"
"Jangshung","jna"
"Jandavra","jnd"
"Yangman","jng"
"Janji","jni"
"Yemsa","jnj"
"Rawat","jnl"
"Jaunsari","jns"
"Joba","job"
"Wojenaka","jod"
"Jorá","jor"
"Jordanian Sign Language","jos"
"Jowulu","jow"
"Japanese","jpn","true"
"Dzhidi","jpr"
"Jaqaru","jqr"
"Jarai","jra"
"Jiru","jrr"
"Jorto","jrt"
"Japreria","jru"
"Japanese Sign Language","jsl"
"Júma","jua"
"Wannu","jub"
"Jurchen","juc"
"Worodougou","jud"
"Hõne","juh"
"Wapan","juk"
"Jirel","jul"
"Jumjum","jum"
"Juang","jun"
"Jiba","juo"
"Hupdë","jup"
"Jurúna","jur"
"Jumla Sign Language","jus"
"Jutish","jut"
"Ju","juu"
"Wãpha","juw"
"Juray","juy"
"Javindo","jvd"
"Javanese, Caribbean","jvn"
"Jwira-Pepesa","jwi"
"Jiarong","jya"
"Arabic, Judeo-Yemeni","jye"
"Jaya","jyy"
"Karakalpak","kaa"
"Kabyle","kab","true"
"Jingpho","kac"
"Kadara","kad"
"Ketangalan","kae"
"Katso","kaf"
"Kajaman","kag"
"Kara","kah"
"Karekare","kai"
"Jju","kaj"
"Kallahan, Kayapa","kak"
"Inuktitut, Greenlandic","kal"
"Kamba","kam"
"Kannada","kan"
"Xaasongaxango","kao"
"Bezhta","kap"
"Capanahua","kaq"
"Kashmiri","kas"
"Georgian","kat","true"
"Katukína","kav"
"Kao","kax"
"Kamayurá","kay"
"Kazakh","kaz","true"
"Kalarko","kba"
"Kaxuiâna","kbb"
"Kadiwéu","kbc"
"Kabardian","kbd"
"Kanju","kbe"
"Kakauhua","kbf"
"Khamba","kbg"
"Camsá","kbh"
"Kaptiau","kbi"
"Kari","kbj"
"Koiari, Grass","kbk"
"Kanembu","kbl"
"Iwal","kbm"
"Kare","kbn"
"Keliko","kbo"
"Kabiyè","kbp"
"Kamano","kbq"
"Kafa","kbr"
"Kande","kbs"
"Abadi","kbt"
"Kabutra","kbu"
"Dera","kbv"
"Kaiep","kbw"
"Ap Ma","kbx"
"Kanuri, Manga","kby"
"Duhwa","kbz"
"Khanty","kca"
"Kawacha","kcb"
"Lubila","kcc"
"Kanum, Ngkâlmpw","kcd"
"Kaivi","kce"
"Ukaan","kcf"
"Tyap","kcg"
"Vono","kch"
"Kamantan","kci"
"Kobiana","kcj"
"Kalanga","kck"
"Kela","kcl"
"Gula","kcm"
"Nubi","kcn"
"Kinalakna","kco"
"Kanga","kcp"
"Kamo","kcq"
"Katla","kcr"
"Koenoem","kcs"
"Kayan","kct"
"Kami","kcu"
"Kete","kcv"
"Kabwari","kcw"
"Kachama-Ganjule","kcx"
"Korandje","kcy"
"Konongo","kcz"
"Worimi","kda"
"Kutu","kdc"
"Yankunytjatjara","kdd"
"Makonde","kde"
"Mamusi","kdf"
"Seba","kdg"
"Tem","kdh"
"Kumam","kdi"
"Karamojong","kdj"
"Numee","kdk"
"Tsikimba","kdl"
"Kagoma","kdm"
"Kunda","kdn"
"Kaningkom-Nindem","kdp"
"Koch","kdq"
"Karaim","kdr"
"Kuy","kdt"
"Kadaru","kdu"
"Kadu","kdv"
"Koneraw","kdw"
"Kam","kdx"
"Keijar","kdy"
"Kwaja","kdz"
"Kabuverdianu","kea"
"Kélé","keb"
"Keiga","kec"
"Kerewe","ked"
"Keres, Eastern","kee"
"Kpessi","kef"
"Tese","keg"
"Keak","keh"
"Kei","kei"
"Kadar","kej"
"Q'eqchi'","kek"
"Kela","kel"
"Kemak","kem"
"Kenyang","ken"
"Kakwa","keo"
"Kaikadi","kep"
"Kamar","keq"
"Kera","ker","true"
"Kugbo","kes"
"Ket","ket"
"Akebu","keu"
"Kanikkaran","kev"
"Kewa, West","kew"
"Kukna","kex"
"Kupia","key"
"Kukele","kez"
"Kodava","kfa"
"Kolami, Northwestern","kfb"
"Konda-Dora","kfc"
"Koraga, Korra","kfd"
"Kota","kfe"
"Koya","kff"
"Kudiya","kfg"
"Kurichiya","kfh"
"Kurumba, Kannada","kfi"
"Kemiehua","kfj"
"Kinnauri","kfk"
"Kung","kfl"
"Khunsari","kfm"
"Kuk","kfn"
"Koro","kfo"
"Korwa","kfp"
"Korku","kfq"
"Kachchi","kfr"
"Bilaspuri","kfs"
"Kanjari","kft"
"Katkari","kfu"
"Kurmukar","kfv"
"Naga, Kharam","kfw"
"Pahari, Kullu","kfx"
"Kumaoni","kfy"
"Koromfé","kfz"
"Koyaga","kga"
"Kawe","kgb"
"Kasseng","kgc"
"Kataang","kgd"
"Komering","kge"
"Kube","kgf"
"Kusunda","kgg"
"Kalinga, Upper Tanudan","kgh"
"Selangor Sign Language","kgi"
"Kham, Gamale","kgj"
"Kaiwá","kgk"
"Kunggari","kgl"
"Karipúna","kgm"
"Karingani","kgn"
"Krongo","kgo"
"Kaingang","kgp"
"Kamoro","kgq"
"Abun","kgr"
"Kumbainggar","kgs"
"Somyev","kgt"
"Kobol","kgu"
"Karas","kgv"
"Karon Dori","kgw"
"Kamaru","kgx"
"Kyerung","kgy"
"Khasi","kha"
"Lü","khb"
"Tukang Besi North","khc"
"Kanum, Bädi","khd"
"Korowai","khe"
"Khuen","khf"
"Tibetan, Khams","khg"
"Kehu","khh"
"Kuturmi","khj"
"Mongolian, Halh","khk"
"Lusi","khl"
"Khmer, Central","khm"
"Khandesi","khn"
"Kapauri","khp"
"Songhay, Koyra Chiini","khq"
"Kharia","khr"
"Kasua","khs"
"Khamti","kht"
"Nkumbi","khu"
"Khvarshi","khv"
"Khowar","khw"
"Kanu","khx"
"Kele","khy"
"Keapara","khz"
"Kim","kia"
"Koalib","kib"
"Kickapoo","kic"
"Koshin","kid"
"Kibet","kie"
"Kham, Eastern Parbate","kif"
"Kimaghima","kig"
"Kilmeri","kih"
"Kitsai","kii"
"Kilivila","kij"
"Gikuyu","kik"
"Kariya","kil"
"Karagas","kim"
"Rwanda","kin"
"Kiowa","kio"
"Kham, Sheshi","kip"
"Kosare","kiq"
"Kyrgyz","kir"
"Kis","kis"
"Agob","kit"
"Kirmanjki","kiu"
"Kimbu","kiv"
"Kiwai, Northeast","kiw"
"Naga, Khiamniungan","kix"
"Kirikiri","kiy"
"Kisi","kiz"
"Mlap","kja"
"Q'anjob'al","kjb"
"Konjo, Coastal","kjc"
"Kiwai, Southern","kjd"
"Kisar","kje"
"Khalaj","kjf"
"Khmu","kjg"
"Khakas","kjh"
"Zabana","kji"
"Khinalugh","kjj"
"Konjo, Highland","kjk"
"Kham, Western Parbate","kjl"
"Kháng","kjm"
"Kunjen","kjn"
"Kinnauri, Pahadi","kjo"
"Karen, Pwo Eastern","kjp"
"Keres, Western","kjq"
"Kurudu","kjr"
"Kewa, East","kjs"
"Karen, Phrae Pwo","kjt"
"Kashaya","kju"
"Ramopa","kjx"
"Erave","kjy"
"Bumthangkha","kjz"
"Kakanda","kka"
"Kwerisa","kkb"
"Odoodee","kkc"
"Kinuku","kkd"
"Kakabe","kke"
"Monpa, Kalaktang","kkf"
"Kalinga, Mabaka Valley","kkg"
"Khün","kkh"
"Kagulu","kki"
"Kako","kkj"
"Kokota","kkk"
"Yale, Kosarek","kkl"
"Kiong","kkm"
"Kon Keu","kkn"
"Karko","kko"
"Gugubera","kkp"
"Kaiku","kkq"
"Kir-Balar","kkr"
"Giiwo","kks"
"Koi","kkt"
"Tumi","kku"
"Kangean","kkv"
"Teke-Kukuya","kkw"
"Kohin","kkx"
"Guguyimidjir","kky"
"Kaska","kkz"
"Klamath-Modoc","kla"
"Kiliwa","klb"
"Kolbila","klc"
"Gamilaraay","kld"
"Kulung","kle"
"Kendeje","klf"
"Tagakaulo","klg"
"Weliki","klh"
"Kalumpang","kli"
"Khalaj, Turkic","klj"
"Kono","klk"
"Kalagan, Kagan","kll"
"Migum","klm"
"Kapya","klo"
"Kamasa","klp"
"Rumu","klq"
"Khaling","klr"
"Kalasha","kls"
"Nukna","klt"
"Klao","klu"
"Maskelynes","klv"
"Lindu","klw"
"Koluwawa","klx"
"Kalao","kly"
"Kabola","klz"
"Konni","kma"
"Kimbundu","kmb"
"Dong, Southern","kmc"
"Kalinga, Majukayang","kmd"
"Bakole","kme"
"Kare","kmf"
"Kâte","kmg"
"Kalam","kmh"
"Kami","kmi"
"Kumarbhag Paharia","kmj"
"Kalinga, Limos","kmk"
"Kalinga, Lower Tanudan","kml"
"Kom","kmm"
"Awtuw","kmn"
"Kwoma","kmo"
"Gimme","kmp"
"Kwama","kmq"
"Kurdish, Northern","kmr"
"Kamasau","kms"
"Kemtuik","kmt"
"Kanite","kmu"
"Karipúna Creole French","kmv"
"Komo","kmw"
"Waboda","kmx"
"Koma","kmy"
"Khorasani Turkish","kmz"
"Dera","kna"
"Kalinga, Lubuagan","knb"
"Kanuri, Central","knc"
"Konda","knd"
"Kankanaey","kne"
"Mankanya","knf"
"Koongo","kng"
"Kanufi","kni"
"Akateko","knj"
"Kuranko","knk"
"Keninjal","knl"
"Kanamarí","knm"
"Konkani","knn"
"Kono","kno"
"Kwanja","knp"
"Kintaq","knq"
"Kaningra","knr"
"Kensiu","kns"
"Katukína, Panoan","knt"
"Kono","knu"
"Tabo","knv"
"Kung-Ekoka","knw"
"Kendayan","knx"
"Kanyok","kny"
"Kalamsé","knz"
"Konomala","koa"
"Kpati","koc"
"Kodi","kod"
"Kacipo-Balesi","koe"
"Kubi","kof"
"Kogi","kog"
"Koyo","koh"
"Komi-Permyak","koi"
"Sara Dunjo","koj"
"Kol","kol"
"Konzo","koo"
"Kwato","kop"
"Kota","koq"
"Korean","kor","true"
"Kosraean","kos"
"Lagwan","kot"
"Koke","kou"
"Kudu-Camo","kov"
"Kugama","kow"
"Coxima","kox"
"Koyukon","koy"
"Korak","koz"
"Kutto","kpa"
"Kurumba, Mullu","kpb"
"Curripaco","kpc"
"Koba","kpd"
"Komba","kpf"
"Kapingamarangi","kpg"
"Kplang","kph"
"Kofei","kpi"
"Karajá","kpj"
"Kpan","kpk"
"Kpala","kpl"
"Koho","kpm"
"Kepkiriwát","kpn"
"Ikposo","kpo"
"Karen, Paku","kpp"
"Korupun-Sela","kpq"
"Korafe-Yegha","kpr"
"Tehit","kps"
"Karata","kpt"
"Kafoa","kpu"
"Komi-Zyrian","kpv"
"Kobon","kpw"
"Koiali, Mountain","kpx"
"Koryak","kpy"
"Kupsabiny","kpz"
"Mum","kqa"
"Kovai","kqb"
"Doromu-Koki","kqc"
"Koy Sanjaq Surat","kqd"
"Kalagan","kqe"
"Kakabai","kqf"
"Khe","kqg"
"Kisankasa","kqh"
"Koitabu","kqi"
"Koromira","kqj"
"Gbe, Kotafon","kqk"
"Kyenele","kql"
"Khisa","kqm"
"Kaonde","kqn"
"Krahn, Eastern","kqo"
"Kimré","kqp"
"Krenak","kqq"
"Kimaragang","kqr"
"Kissi, Northern","kqs"
"Kadazan, Klias River","kqt"
"Seroa","kqu"
"Okolod","kqv"
"Kandas","kqw"
"Mser","kqx"
"Koorete","kqy"
"Korana","kqz"
"Kumhali","kra"
"Karachay-Balkar","krc"
"Kairui-Midiki","krd"
"Panará","kre","true"
"Koro","krf"
"Kurama","krh"
"Krio","kri"
"Kinaray-a","krj"
"Kerek","krk"
"Karelian","krl"
"Krim","krm"
"Sapo","krn"
"Korop","krp"
"Kru'ng 2","krr"
"Gbaya","krs"
"Kanuri, Tumari","krt"
"Kurux","kru"
"Kavet","krv"
"Krahn, Western","krw"
"Karon","krx"
"Kryts","kry"
"Kanum, Sota","krz"
"Shuwa-Zamani","ksa"
"Shambala","ksb"
"Kalinga, Southern","ksc"
"Kuanua","ksd"
"Kuni","kse"
"Bafia","ksf"
"Kusaghe","ksg"
"Kölsch","ksh"
"Isaka","ksi"
"Uare","ksj"
"Kansa","ksk"
"Kumalu","ksl"
"Kumba","ksm"
"Kasiguranin","ksn"
"Kofa","kso"
"Kaba","ksp"
"Kwaami","ksq"
"Borong","ksr"
"Kisi, Southern","kss"
"Winyé","kst"
"Khamyang","ksu"
"Kusu","ksv"
"Karen, S'gaw","ksw"
"Kedang","ksx"
"Kharia Thar","ksy"
"Kodaku","ksz"
"Katua","kta"
"Kambaata","ktb"
"Kholok","ktc"
"Kokata","ktd"
"Nubri","kte"
"Kwami","ktf"
"Kalkutung","ktg"
"Karanga","kth"
"Muyu, North","kti"
"Krumen, Plapo","ktj"
"Kaniet","ktk"
"Koroshi","ktl"
"Kurti","ktm"
"Karitiâna","ktn"
"Kuot","kto"
"Kaduo","ktp"
"Katabaga","ktq"
"Kota Marudu Tinagas","ktr"
"Muyu, South","kts"
"Ketum","ktt"
"Kituba","ktu"
"Katu, Eastern","ktv"
"Kato","ktw"
"Kaxararí","ktx"
"Kango","kty"
"Ju|'hoan","ktz"
"Oshiwambo","kua"
"Kutep","kub"
"Kwinsu","kuc"
"'Auhelawa","kud"
"Kuman","kue"
"Katu, Western","kuf"
"Kupa","kug"
"Kushi","kuh"
"Kuikúro-Kalapálo","kui"
"Kuria","kuj"
"Kepo'","kuk"
"Kulere","kul"
"Kumyk","kum"
"Kunama","kun"
"Kumukio","kuo"
"Kunimaipa","kup"
"Karipuna","kuq"
"Kusaal","kus"
"Kutenai","kut"
"Kuskokwim, Upper","kuu"
"Kur","kuv"
"Kpagua","kuw"
"Kukatja","kux"
"Kuuku-Ya'u","kuy"
"Kunza","kuz"
"Bagvalal","kva"
"Kubu","kvb"
"Kove","kvc"
"Kui","kvd"
"Kalabakan","kve"
"Kabalai","kvf"
"Kuni-Boazi","kvg"
"Komodo","kvh"
"Kwang","kvi"
"Psikye","kvj"
"Korean Sign Language","kvk"
"Karen, Brek","kvl"
"Kendem","kvm"
"Kuna, Border","kvn"
"Dobel","kvo"
"Kompane","kvp"
"Karen, Geba","kvq"
"Kerinci","kvr"
"Kunggara","kvs"
"Karen, Lahta","kvt"
"Karen, Yinbaw","kvu"
"Kola","kvv"
"Wersing","kvw"
"Koli, Parkari","kvx"
"Karen, Yintale","kvy"
"Tsaukambo","kvz"
"Dâw","kwa"
"Kwa","kwb"
"Likwala","kwc"
"Kwaio","kwd"
"Kwerba","kwe"
"Kwara'ae","kwf"
"Kaba Démé, Sara","kwg"
"Kowiai","kwh"
"Awa-Cuaiquer","kwi"
"Kwanga","kwj"
"Kwakiutl","kwk"
"Kofyar","kwl"
"Kwambi","kwm"
"Kwangali","kwn"
"Kwomtari","kwo"
"Kodia","kwp"
"Kwak","kwq"
"Kwer","kwr"
"Kwese","kws"
"Kwesten","kwt"
"Kwakum","kwu"
"Kaba Náà, Sara","kwv"
"Kwinti","kww"
"Khirwar","kwx"
"Kongo, San Salvador","kwy"
"Kwadi","kwz"
"Kairiru","kxa"
"Krobu","kxb"
"Konso","kxc"
"Brunei","kxd"
"Kakihum","kxe"
"Karen, Manumanaw","kxf"
"Karo","kxh"
"Keningau Murut","kxi"
"Kulfa","kxj"
"Karen, Zayein","kxk"
"Kurux, Nepali","kxl"
"Khmer, Northern","kxm"
"Melanau, Kanowit-Tanjong","kxn"
"Kanoé","kxo"
"Koli, Wadiyara","kxp"
"Kanum, Smärky","kxq"
"Koro","kxr"
"Kangjia","kxs"
"Koiwat","kxt"
"Kui","kxu"
"Kuvi","kxv"
"Konai","kxw"
"Likuba","kxx"
"Kayong","kxy"
"Kerewo","kxz"
"Kwaya","kya"
"Kalinga, Butbut","kyb"
"Kyaka","kyc"
"Karey","kyd"
"Krache","kye"
"Kouya","kyf"
"Keyagana","kyg"
"Karok","kyh"
"Kiput","kyi"
"Karao","kyj"
"Kamayo","kyk"
"Kalapuya","kyl"
"Kpatili","kym"
"Binukidnon, Northern","kyn"
"Kelon","kyo"
"Kang","kyp"
"Kenga","kyq"
"Kuruáya","kyr"
"Kayan, Baram","kys"
"Kayagar","kyt"
"Kayah, Western","kyu"
"Kayort","kyv"
"Kudmali","kyw"
"Rapoisi","kyx"
"Kambaira","kyy"
"Kayabí","kyz"
"Karaboro, Western","kza"
"Kaibobo","kzb"
"Kulango, Bondoukou","kzc"
"Kadai","kzd"
"Kosena","kze"
"Kaili, Da'a","kzf"
"Kikai","kzg"
"Kenuzi-Dongola","kzh"
"Kelabit","kzi"
"Kadazan, Coastal","kzj"
"Kazukuru","kzk"
"Kayeli","kzl"
"Kais","kzm"
"Kokola","kzn"
"Kaningi","kzo"
"Kaidipang","kzp"
"Kaike","kzq"
"Karang","kzr"
"Dusun, Sugut","kzs"
"Dusun, Tambunan","kzt"
"Kayupulau","kzu"
"Komyandaret","kzv"
"Karirí-Xocó","kzw"
"Kamarian","kzx"
"Kango","kzy"
"Kalabra","kzz"
"Subanen, Southern","laa"
"Lacandon","lac"
"Ladino","lad"
"Pattani","lae"
"Lafofa","laf"
"Langi","lag","true"
"Lambya","lai"
"Lango","laj"
"Laka","lak"
"Lalia","lal"
"Lamba","lam"
"Laru","lan"
"Lao","lao"
"Laka","lap"
"Qabiao","laq"
"Larteh","lar"
"Lama","las"
"Latin","lat","true"
"Laba","lau"
"Lauje","law"
"Tiwa","lax"
"Lama","lay"
"Aribwatsa","laz"
"Lui","lba"
"Label","lbb"
"Lakkia","lbc"
"Lak","lbe"
"Tinani","lbf"
"Laopang","lbg"
"La'bi","lbi","true"
"Ladakhi","lbj"
"Bontok, Central","lbk"
"Bikol, Libon","lbl"
"Lodhi","lbm"
"Lamet","lbn"
"Laven","lbo"
"Wampar","lbq"
"Lorung, Northern","lbr"
"Libyan Sign Language","lbs"
"Lachi","lbt"
"Labu","lbu"
"Lavatbura-Lamusong","lbv"
"Tolaki","lbw"
"Lawangan","lbx"
"Lamu-Lamu","lby"
"Lardil","lbz"
"Legenyem","lcc"
"Lola","lcd"
"Loncong","lce"
"Lubu","lcf"
"Lucazi","lch"
"Lisela","lcl"
"Tungag","lcm"
"Lawa, Western","lcp"
"Luhu","lcq"
"Lisabata-Nuniali","lcs"
"Idun","ldb"
"Luri","ldd"
"Lenyima","ldg"
"Lamja-Dengsa-Tola","ldh"
"Laari","ldi"
"Lemoro","ldj"
"Leelau","ldk"
"Kaan","ldl"
"Landoma","ldm"
"Loo","ldo"
"Tso","ldp"
"Lufu","ldq"
"Lega-Shabunda","lea"
"Lala-Bisa","leb"
"Leco","lec"
"Lendu","led"
"Lyélé","lee"
"Lelemi","lef"
"Lengua","leg"
"Lenje","leh"
"Lemio","lei"
"Lengola","lej"
"Leipon","lek"
"Lele","lel"
"Nomaande","lem"
"Lenca","len"
"Leti","leo"
"Lepcha","lep"
"Lembena","leq"
"Lenkau","ler"
"Lese","les"
"Lesing-Gelimi","let"
"Kara","leu"
"Lamma","lev"
"Kaili, Ledo","lew"
"Luang","lex"
"Lemolang","ley"
"Lezgi","lez"
"Lefa","lfa"
"Lungga","lga"
"Laghu","lgb"
"Lugbara","lgg"
"Laghuu","lgh"
"Lengilu","lgi"
"Neverver","lgk"
"Wala","lgl"
"Lega-Mwenga","lgm"
"Opuuo","lgn"
"Logba","lgq"
"Lengo","lgr"
"Pahi","lgt"
"Longgu","lgu"
"Ligenza","lgz"
"Laha","lha"
"Laha","lhh"
"Lahu Shi","lhi"
"Lohar, Lahul","lhl"
"Lhomi","lhm"
"Lahanan","lhn"
"Lhokpu","lhp"
"Mlahsö","lhs"
"Lo-Toga","lht"
"Lahu","lhu"
"Limba, West-Central","lia"
"Likum","lib"
"Hlai","lic"
"Nyindrou","lid"
"Likila","lie","true"
"Limbu","lif"
"Ligbi","lig"
"Lihir","lih"
"Lingkhim","lii"
"Ligurian","lij"
"Lika","lik"
"Lillooet","lil"
"Limburgish","lim"
"Lingala","lin"
"Liki","lio"
"Sekpele","lip"
"Libido","liq"
"Liberian English","lir"
"Lisu","lis"
"Lithuanian","lit","true"
"Logorik","liu"
"Liv","liv"
"Col","liw"
"Liabuku","lix"
